Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
191,4,2,1.0,0,0,0,6.17,0.6,-1.2453074433656957,-0.6666666666666666,0.0,-0.3286407766990291,-0.25
192,3,2,0.5,0,0,0,5.6,1.0,-1.0009439050701188,-0.5555555555555556,0.0,-0.3203883495145631,-0.125
193,2,3,0.5,0,0,0,3.6,1.6,-0.932982740021575,-0.5555555555555556,0.0,-0.2524271844660194,-0.125
194,1,3,1.0,0,0,0,2.5,2.2,-0.9225997842502697,-0.4444444444444444,0.0,-0.22815533980582522,-0.25
195,0,4,2.0,0,0,0,0.0,3.0,-1.0900755124056094,-0.4444444444444444,0.0,-0.14563106796116504,-0.5
196,0,5,2.5,0,0,0,0.0,4.0,-1.3747303128371091,-0.5555555555555556,0.0,-0.1941747572815534,-0.625
197,0,5,2.5,0,0,1,0.0,5.0,-1.2982740021574974,-0.5555555555555556,0.125,-0.24271844660194172,-0.625
198,0,5,2.5,0,0,0,0.0,6.0,-1.4718176914778858,-0.5555555555555556,0.0,-0.2912621359223301,-0.625
199,0,5,2.5,1,0,1,0.0,7.0,-1.395361380798274,-0.5555555555555556,0.125,-0.3398058252427184,-0.625
200,0,5,2.5,0,0,1,0.0,8.0,-1.4439050701186624,-0.5555555555555556,0.125,-0.3883495145631068,-0.625
201,0,5,2.5,1,0,0,0.0,9.0,-1.6174487594390508,-0.5555555555555556,0.0,-0.4368932038834951,-0.625
202,1,4,1.5,0,0,1,0.25,9.25,-1.266720604099245,-0.5555555555555556,0.125,-0.4611650485436893,-0.375
203,1,3,1.0,1,0,0,0.4,7.0,-1.0536677454153183,-0.4444444444444444,0.0,-0.3592233009708738,-0.25
204,1,2,0.5,0,0,1,0.6,4.75,-0.5930420711974109,-0.3333333333333333,0.125,-0.2597087378640776,-0.125
205,2,1,0.5,1,0,0,0.83,3.33,-0.6602750809061488,-0.3333333333333333,0.0,-0.20194174757281552,-0.125
206,2,0,1.0,0,0,0,1.17,0.0,-0.5290183387270766,-0.2222222222222222,0.0,-0.05679611650485436,-0.25
207,2,0,1.0,0,0,0,1.5,0.0,-0.5450377562028047,-0.2222222222222222,0.0,-0.07281553398058252,-0.25
208,3,0,1.5,1,0,1,1.71,0.0,-0.6663430420711973,-0.3333333333333333,0.125,-0.08300970873786408,-0.375
209,4,0,2.0,0,0,0,2.29,0.0,-1.055609492988134,-0.4444444444444444,0.0,-0.11116504854368932,-0.5
210,5,0,2.5,0,1,1,3.0,0.0,-1.2011866235167206,-0.5555555555555556,0.125,-0.14563106796116504,-0.625
211,5,0,2.5,0,0,0,3.71,0.0,-1.3606526429341963,-0.5555555555555556,0.0,-0.18009708737864077,-0.625
